Date,Open,High,Low,Close,Adj Close,Volume
2022-02-22,4332.740234,4362.120117,4267.109863,4304.759766,4304.759766,5121900000
2022-02-23,4324.930176,4341.509766,4221.509766,4225.500000,4225.500000,4797430000
2022-02-24,4155.770020,4294.729980,4114.649902,4288.700195,4288.700195,6752130000
2022-02-25,4298.379883,4385.339844,4286.830078,4384.649902,4384.649902,5177060000
2022-02-28,4354.169922,4388.839844,4315.120117,4373.939941,4373.939941,6071370000
2022-03-01,4363.140137,4378.450195,4279.540039,4306.259766,4306.259766,5846230000
2022-03-02,4322.560059,4401.479980,4322.560059,4386.540039,4386.540039,5337870000
2022-03-03,4401.310059,4416.779785,4345.560059,4363.490234,4363.490234,5039890000
2022-03-04,4342.120117,4342.120117,4284.979980,4328.870117,4328.870117,5797380000
2022-03-07,4327.009766,4327.009766,4199.850098,4201.089844,4201.089844,6940470000
2022-03-08,4202.660156,4276.939941,4157.870117,4170.700195,4170.700195,7243120000
2022-03-09,4223.100098,4299.399902,4223.100098,4277.879883,4277.879883,5662670000
2022-03-10,4252.549805,4268.279785,4209.799805,4259.520020,4259.520020,4980830000
2022-03-11,4279.500000,4291.009766,4200.490234,4204.310059,4204.310059,4938640000
2022-03-14,4202.750000,4247.569824,4161.720215,4173.109863,4173.109863,5574920000
2022-03-15,4188.819824,4271.049805,4187.899902,4262.450195,4262.450195,5392470000
2022-03-16,4288.140137,4358.899902,4251.990234,4357.859863,4357.859863,6309750000
2022-03-17,4345.109863,4412.669922,4335.649902,4411.669922,4411.669922,4985090000
2022-03-18,4407.339844,4465.399902,4390.569824,4463.120117,4463.120117,8278430000
2022-03-21,4462.399902,4481.750000,4424.299805,4461.180176,4461.180176,4869820000
2022-03-22,4469.100098,4522.000000,4469.100098,4511.609863,4511.609863,4754840000
2022-03-23,4493.100098,4501.069824,4455.810059,4456.240234,4456.240234,4550670000
2022-03-24,4469.979980,4520.580078,4465.169922,4520.160156,4520.160156,4131390000
2022-03-25,4522.910156,4546.029785,4501.069824,4543.060059,4543.060059,4305020000
2022-03-28,4541.089844,4575.649902,4517.689941,4575.520020,4575.520020,4312260000
2022-03-29,4602.859863,4637.299805,4589.660156,4631.600098,4631.600098,5085910000
2022-03-30,4624.200195,4627.770020,4581.319824,4602.450195,4602.450195,4385570000
2022-03-31,4599.020020,4603.069824,4530.410156,4530.410156,4530.410156,4823020000
2022-04-01,4540.319824,4548.700195,4507.569824,4545.859863,4545.859863,4562940000
2022-04-04,4547.970215,4583.500000,4539.209961,4582.640137,4582.640137,4547350000
2022-04-05,4572.450195,4593.450195,4514.169922,4525.120117,4525.120117,4800620000
2022-04-06,4494.169922,4503.939941,4450.040039,4481.149902,4481.149902,4986830000
2022-04-07,4474.649902,4521.160156,4450.299805,4500.209961,4500.209961,4821490000
2022-04-08,4494.149902,4520.410156,4474.600098,4488.279785,4488.279785,4083200000
2022-04-11,4462.640137,4464.350098,4408.379883,4412.529785,4412.529785,4266290000
2022-04-12,4437.589844,4471.000000,4381.339844,4397.450195,4397.450195,4152090000
2022-04-13,4394.299805,4453.919922,4392.700195,4446.589844,4446.589844,3828150000
2022-04-14,4449.120117,4460.459961,4390.770020,4392.589844,4392.589844,4083090000
2022-04-18,4385.629883,4410.310059,4370.299805,4391.689941,4391.689941,3910490000
2022-04-19,4390.629883,4471.029785,4390.629883,4462.209961,4462.209961,4108120000
2022-04-20,4472.259766,4488.290039,4448.759766,4459.450195,4459.450195,4290450000
2022-04-21,4489.169922,4512.939941,4384.470215,4393.660156,4393.660156,4636890000
2022-04-22,4385.830078,4385.830078,4267.620117,4271.779785,4271.779785,4651940000
2022-04-25,4255.339844,4299.020020,4200.819824,4296.120117,4296.120117,5240040000
2022-04-26,4278.140137,4278.140137,4175.040039,4175.200195,4175.200195,4689970000
2022-04-27,4186.520020,4240.709961,4162.899902,4183.959961,4183.959961,4769680000
2022-04-28,4222.580078,4308.450195,4188.629883,4287.500000,4287.500000,4854180000
2022-04-29,4253.750000,4269.680176,4124.279785,4131.930176,4131.930176,5084030000
